Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,County
1/1/2020,27,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,27,Arlington
1/4/2020,30,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,30,Arlington
1/7/2020,30,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,30,Arlington
1/10/2020,21,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,21,Arlington
1/13/2020,29,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,29,Arlington
1/16/2020,18,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,18,Arlington
1/19/2020,19,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,19,Arlington
1/22/2020,47,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,47,Arlington
1/25/2020,13,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,13,Arlington
1/28/2020,17,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,17,Arlington
1/31/2020,45,PM2.5,Aurora Hills Visitors Center,51-013-0020,AQS,.,45,Arlington
2/27/2020,33,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,33,.,Arlington
2/28/2020,32,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,32,.,Arlington
2/29/2020,34,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,34,.,Arlington
3/1/2020,37,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,37,.,Arlington
3/2/2020,44,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,44,.,Arlington
3/3/2020,34,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,34,.,Arlington
3/4/2020,38,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,38,.,Arlington
3/5/2020,31,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,31,.,Arlington
3/6/2020,31,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,31,.,Arlington
3/7/2020,35,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,35,.,Arlington
3/8/2020,38,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,38,.,Arlington
3/9/2020,43,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,43,.,Arlington
3/10/2020,34,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,34,.,Arlington
3/13/2020,39,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,39,.,Arlington
3/14/2020,38,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,38,.,Arlington
3/15/2020,31,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,31,.,Arlington
3/16/2020,39,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,39,.,Arlington
3/17/2020,31,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,31,.,Arlington
3/18/2020,34,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,34,.,Arlington
3/19/2020,28,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,28,.,Arlington
3/20/2020,34,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,34,.,Arlington
3/21/2020,32,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,32,.,Arlington
3/22/2020,37,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,37,.,Arlington
3/23/2020,31,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,31,.,Arlington
3/24/2020,31,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,31,.,Arlington
3/25/2020,28,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,28,.,Arlington
3/26/2020,34,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,34,.,Arlington
3/27/2020,40,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,40,.,Arlington
3/28/2020,34,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,34,.,Arlington
3/29/2020,24,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,24,.,Arlington
3/30/2020,43,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,43,.,Arlington
3/31/2020,33,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,33,.,Arlington
4/1/2020,33,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,33,.,Arlington
4/2/2020,41,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,41,.,Arlington
4/3/2020,42,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,42,.,Arlington
4/4/2020,29,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,29,.,Arlington
4/5/2020,38,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,38,.,Arlington
4/6/2020,44,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,44,.,Arlington
4/7/2020,38,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,38,.,Arlington
4/8/2020,44,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,44,.,Arlington
4/10/2020,37,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,37,.,Arlington
4/11/2020,42,Ozone,Aurora Hills Visitors Center,51-013-0020,AirNow,42,.,Arlington
