Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,County
1/1/2020,65,PM2.5,Dallas Hinton,48-113-0069,AirNow,31,65,Dallas
1/2/2020,45,PM2.5,Dallas Hinton,48-113-0069,AirNow,20,45,Dallas
1/3/2020,35,PM2.5,Dallas Hinton,48-113-0069,AirNow,28,35,Dallas
1/4/2020,49,PM2.5,Dallas Hinton,48-113-0069,AirNow,32,49,Dallas
1/5/2020,42,PM2.5,Dallas Hinton,48-113-0069,AirNow,36,42,Dallas
1/6/2020,46,PM2.5,Dallas Hinton,48-113-0069,AirNow,31,46,Dallas
1/7/2020,43,PM2.5,Dallas Hinton,48-113-0069,AirNow,24,43,Dallas
1/8/2020,46,PM2.5,Dallas Hinton,48-113-0069,AirNow,42,46,Dallas
1/9/2020,34,PM2.5,Dallas Hinton,48-113-0069,AirNow,32,34,Dallas
1/10/2020,32,PM2.5,Dallas Hinton,48-113-0069,AirNow,28,32,Dallas
1/11/2020,41,PM2.5,Dallas Hinton,48-113-0069,AirNow,24,41,Dallas
1/12/2020,47,PM2.5,Dallas Hinton,48-113-0069,AirNow,25,47,Dallas
1/13/2020,55,PM2.5,Dallas Hinton,48-113-0069,AirNow,23,55,Dallas
1/14/2020,54,PM2.5,Dallas Hinton,48-113-0069,AirNow,25,54,Dallas
1/15/2020,44,PM2.5,Dallas Hinton,48-113-0069,AirNow,18,44,Dallas
1/16/2020,54,PM2.5,Dallas Hinton,48-113-0069,AirNow,19,54,Dallas
1/17/2020,51,PM2.5,Dallas Hinton,48-113-0069,AirNow,19,51,Dallas
1/18/2020,31,Ozone,Dallas Redbird Airport Executive,48-113-0087,AirNow,31,23,Dallas
1/19/2020,36,Ozone,Dallas Redbird Airport Executive,48-113-0087,AirNow,36,32,Dallas
1/20/2020,42,PM2.5,Dallas Hinton,48-113-0069,AirNow,29,42,Dallas
1/21/2020,56,PM2.5,Dallas Hinton,48-113-0069,AirNow,27,56,Dallas
1/22/2020,41,PM2.5,Dallas Hinton,48-113-0069,AirNow,24,41,Dallas
1/23/2020,24,Ozone,Dallas North #2,48-113-0075,AirNow,24,15,Dallas
1/24/2020,30,PM2.5,Dallas Hinton,48-113-0069,AirNow,29,30,Dallas
1/25/2020,39,Ozone,Dallas Redbird Airport Executive,48-113-0087,AirNow,39,38,Dallas
1/26/2020,32,PM2.5,Dallas Hinton,48-113-0069,AirNow,28,32,Dallas
1/27/2020,55,PM2.5,Dallas Hinton,48-113-0069,AirNow,24,55,Dallas
1/28/2020,40,PM2.5,Dallas Hinton,48-113-0069,AirNow,26,40,Dallas
1/29/2020,26,PM2.5,Dallas Hinton,48-113-0069,AirNow,24,26,Dallas
1/30/2020,38,PM2.5,Dallas Hinton,48-113-0069,AirNow,21,38,Dallas
1/31/2020,40,PM2.5,Dallas Hinton,48-113-0069,AirNow,27,40,Dallas
2/1/2020,50,PM2.5,Dallas Hinton,48-113-0069,AirNow,31,50,Dallas
2/2/2020,40,Ozone,Dallas Redbird Airport Executive,48-113-0087,AirNow,40,29,Dallas
