Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,County
1/1/2020,32,Ozone,RIVER TERRACE,11-001-0041,AirNow,32,20,District of Columbia
1/2/2020,43,PM2.5,Near Road,11-001-0051,AirNow,25,43,District of Columbia
1/3/2020,39,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,22,39,District of Columbia
1/4/2020,32,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,25,32,District of Columbia
1/5/2020,30,Ozone,Takoma Rec Center,11-001-0050,AirNow,30,14,District of Columbia
1/6/2020,32,Ozone,Takoma Rec Center,11-001-0050,AirNow,32,21,District of Columbia
1/7/2020,32,PM2.5,RIVER TERRACE,11-001-0041,AirNow,21,32,District of Columbia
1/8/2020,25,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,19,25,District of Columbia
1/9/2020,29,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,22,29,District of Columbia
1/10/2020,30,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,22,30,District of Columbia
1/11/2020,33,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,31,33,District of Columbia
1/12/2020,34,Ozone,Takoma Rec Center,11-001-0050,AirNow,34,11,District of Columbia
1/13/2020,43,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,10,43,District of Columbia
1/14/2020,53,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,8,53,District of Columbia
1/15/2020,45,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,18,45,District of Columbia
1/16/2020,33,Ozone,Takoma Rec Center,11-001-0050,AirNow,33,28,District of Columbia
1/17/2020,34,Ozone,Takoma Rec Center,11-001-0050,AirNow,34,22,District of Columbia
1/18/2020,32,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,28,32,District of Columbia
1/19/2020,31,Ozone,Takoma Rec Center,11-001-0050,AirNow,31,26,District of Columbia
1/20/2020,38,Ozone,Takoma Rec Center,11-001-0050,AirNow,38,29,District of Columbia
1/21/2020,38,Ozone,Takoma Rec Center,11-001-0050,AirNow,38,22,District of Columbia
1/22/2020,45,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,30,45,District of Columbia
1/23/2020,63,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,12,63,District of Columbia
1/24/2020,55,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,35,55,District of Columbia
1/25/2020,33,Ozone,Takoma Rec Center,11-001-0050,AirNow,33,15,District of Columbia
1/26/2020,27,Ozone,Takoma Rec Center,11-001-0050,AirNow,27,15,District of Columbia
1/27/2020,32,Ozone,Takoma Rec Center,11-001-0050,AirNow,32,24,District of Columbia
1/28/2020,31,Ozone,Takoma Rec Center,11-001-0050,AirNow,31,21,District of Columbia
1/29/2020,33,Ozone,Takoma Rec Center,11-001-0050,AirNow,33,25,District of Columbia
1/30/2020,35,PM2.5,Near Road,11-001-0051,AirNow,24,35,District of Columbia
1/31/2020,45,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,20,45,District of Columbia
2/1/2020,64,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,20,64,District of Columbia
2/2/2020,41,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,28,41,District of Columbia
2/3/2020,32,PM2.5,Near Road,11-001-0051,AirNow,27,32,District of Columbia
2/4/2020,37,PM2.5,Near Road,11-001-0051,AirNow,19,37,District of Columbia
2/5/2020,35,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,24,35,District of Columbia
2/6/2020,32,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,16,32,District of Columbia
2/7/2020,32,Ozone,Takoma Rec Center,11-001-0050,AirNow,32,12,District of Columbia
2/8/2020,35,Ozone,Takoma Rec Center,11-001-0050,AirNow,35,23,District of Columbia
2/9/2020,34,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,34,34,District of Columbia
2/10/2020,33,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,28,33,District of Columbia
2/11/2020,33,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,29,33,District of Columbia
2/12/2020,45,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AirNow,27,45,District of Columbia
2/13/2020,29,Ozone,Takoma Rec Center,11-001-0050,AirNow,29,22,District of Columbia
2/14/2020,32,Ozone,Takoma Rec Center,11-001-0050,AirNow,32,19,District of Columbia
