Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2,County
1/1/2020,199,PM2.5,WEST PHOENIX,04-013-0019,AirNow,17,36,3,73,199,28,Maricopa
1/2/2020,76,PM2.5,DURANGO COMPLEX,04-013-9812,AirNow,9,36,3,30,76,26,Maricopa
1/3/2020,68,PM2.5,JLG SUPERSITE,04-013-9997,AQS,11,38,3,36,68,38,Maricopa
1/4/2020,88,PM2.5,WEST PHOENIX,04-013-0019,AirNow,15,39,3,39,88,39,Maricopa
1/5/2020,86,PM2.5,WEST PHOENIX,04-013-0019,AirNow,14,39,3,32,86,39,Maricopa
1/6/2020,66,PM2.5,DURANGO COMPLEX,04-013-9812,AirNow,10,40,3,29,66,38,Maricopa
1/7/2020,64,PM2.5,DURANGO COMPLEX,04-013-9812,AirNow,11,38,3,31,64,34,Maricopa
1/8/2020,56,PM2.5,Thirty-Third,04-013-4020,AirNow,15,39,3,28,56,34,Maricopa
1/9/2020,48,PM2.5,Thirty-Third,04-013-4020,AirNow,10,39,1,21,48,26,Maricopa
1/10/2020,39,Ozone,CAVE CREEK,04-013-4008,AirNow,5,39,0,17,30,26,Maricopa
1/11/2020,65,PM2.5,SOUTH PHOENIX,04-013-4003,AirNow,6,40,1,19,65,33,Maricopa
1/12/2020,84,PM2.5,Thirty-Third,04-013-4020,AirNow,9,43,1,31,84,34,Maricopa
1/13/2020,65,PM2.5,Thirty-Third,04-013-4020,AirNow,10,44,3,31,65,39,Maricopa
1/14/2020,68,PM2.5,Thirty-Third,04-013-4020,AirNow,13,43,4,35,68,36,Maricopa
1/15/2020,72,PM2.5,Thirty-Third,04-013-4020,AirNow,13,41,4,40,72,39,Maricopa
1/16/2020,65,PM2.5,Thirty-Third,04-013-4020,AirNow,14,40,3,.,65,26,Maricopa
1/17/2020,47,PM2.5,SOUTH PHOENIX,04-013-4003,AirNow,7,42,1,.,47,34,Maricopa
1/18/2020,89,PM2.5,WEST PHOENIX,04-013-0019,AirNow,10,45,3,.,89,39,Maricopa
1/19/2020,89,PM2.5,WEST PHOENIX,04-013-0019,AirNow,16,44,1,.,89,33,Maricopa
1/20/2020,46,PM2.5,DURANGO COMPLEX,04-013-9812,AirNow,10,39,4,.,46,36,Maricopa
1/21/2020,34,PM2.5,NORTH PHOENIX,04-013-1004,AirNow,3,32,1,.,34,20,Maricopa
1/22/2020,55,PM2.5,JLG SUPERSITE,04-013-9997,AQS,8,34,1,.,55,28,Maricopa
1/23/2020,72,PM2.5,Thirty-Third,04-013-4020,AirNow,11,36,3,.,72,35,Maricopa
1/24/2020,72,PM2.5,Thirty-Third,04-013-4020,AirNow,10,37,3,.,72,34,Maricopa
1/25/2020,97,PM2.5,JLG SUPERSITE,04-013-9997,AQS,10,39,3,.,97,35,Maricopa
1/26/2020,72,PM2.5,SOUTH PHOENIX,04-013-4003,AirNow,11,47,1,.,72,39,Maricopa
1/27/2020,65,PM2.5,Thirty-Third,04-013-4020,AirNow,11,43,4,.,65,38,Maricopa
1/28/2020,52,PM2.5,Thirty-Third,04-013-4020,AirNow,8,43,3,21,52,37,Maricopa
1/29/2020,53,PM2.5,Thirty-Third,04-013-4020,AirNow,8,41,1,21,53,38,Maricopa
1/30/2020,41,Ozone,PINNACLE PEAK,04-013-2005,AirNow,6,41,1,15,38,34,Maricopa
1/31/2020,61,PM2.5,Thirty-Third,04-013-4020,AirNow,10,44,3,33,61,41,Maricopa
2/1/2020,110,PM2.5,JLG SUPERSITE,04-013-9997,AQS,15,39,3,51,110,37,Maricopa
2/2/2020,62,PM2.5,WEST PHOENIX,04-013-0019,AirNow,13,43,1,22,62,32,Maricopa
2/3/2020,57,PM10,JLG SUPERSITE,04-013-9997,AQS,7,45,1,57,43,29,Maricopa
2/4/2020,39,Ozone,HUMBOLDT MOUNTAIN,04-013-9508,AirNow,3,39,1,14,26,32,Maricopa
2/5/2020,40,Ozone,PINNACLE PEAK,04-013-2005,AirNow,6,40,1,15,34,35,Maricopa
2/6/2020,51,PM2.5,DURANGO COMPLEX,04-013-9812,AirNow,7,37,1,24,51,37,Maricopa
2/7/2020,64,PM2.5,Thirty-Third,04-013-4020,AirNow,9,41,1,38,64,40,Maricopa
2/8/2020,76,PM2.5,Thirty-Third,04-013-4020,AirNow,10,47,1,36,76,40,Maricopa
2/9/2020,46,PM2.5,SOUTH PHOENIX,04-013-4003,AirNow,10,43,0,19,46,31,Maricopa
2/10/2020,38,PM2.5,Thirty-Third,04-013-4020,AirNow,7,38,1,24,38,29,Maricopa
2/11/2020,39,Ozone,HUMBOLDT MOUNTAIN,04-013-9508,AirNow,5,39,0,6,22,26,Maricopa
2/12/2020,50,PM2.5,Thirty-Third,04-013-4020,AirNow,5,38,1,14,50,31,Maricopa
2/13/2020,64,PM2.5,Thirty-Third,04-013-4020,AirNow,9,42,3,25,64,38,Maricopa
2/14/2020,65,PM2.5,Thirty-Third,04-013-4020,AirNow,8,44,1,25,65,36,Maricopa
2/15/2020,70,PM2.5,WEST PHOENIX,04-013-0019,AirNow,10,47,1,27,70,40,Maricopa
2/16/2020,64,Ozone,PINNACLE PEAK,04-013-2005,AirNow,10,64,1,23,62,41,Maricopa
2/17/2020,74,Ozone,PINNACLE PEAK,04-013-2005,AirNow,8,74,1,29,62,42,Maricopa
2/18/2020,64,PM2.5,Thirty-Third,04-013-4020,AirNow,9,61,1,35,64,47,Maricopa
2/19/2020,62,PM10,JLG SUPERSITE,04-013-9997,AQS,10,58,1,62,61,38,Maricopa
2/20/2020,59,PM2.5,Thirty-Third,04-013-4020,AirNow,8,48,1,30,59,44,Maricopa
2/21/2020,42,PM2.5,Thirty-Third,04-013-4020,AirNow,8,40,1,29,42,35,Maricopa
2/22/2020,35,Ozone,CENTRAL PHOENIX,04-013-3002,AirNow,3,35,0,10,27,11,Maricopa
2/23/2020,43,Ozone,FALCON FIELD,04-013-1010,AirNow,3,43,0,18,27,13,Maricopa
