Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,County
1/1/2020,74,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,42,74,San Bernardino
1/2/2020,74,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,40,74,San Bernardino
1/3/2020,61,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,39,61,San Bernardino
1/4/2020,80,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,42,80,San Bernardino
1/5/2020,94,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,42,94,San Bernardino
1/6/2020,48,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,42,48,San Bernardino
1/7/2020,53,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,39,53,San Bernardino
1/8/2020,60,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,39,60,San Bernardino
1/9/2020,60,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,38,60,San Bernardino
1/10/2020,65,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,39,65,San Bernardino
1/11/2020,63,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,39,63,San Bernardino
1/12/2020,77,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,43,77,San Bernardino
1/13/2020,78,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,44,78,San Bernardino
1/14/2020,102,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,46,102,San Bernardino
1/15/2020,136,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,45,136,San Bernardino
1/16/2020,98,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,48,98,San Bernardino
1/17/2020,42,Ozone,Joshua Tree NP - Black Rock,06-071-9002,AQS,42,40,San Bernardino
1/18/2020,54,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,43,54,San Bernardino
1/19/2020,54,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,41,54,San Bernardino
1/20/2020,76,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,40,76,San Bernardino
1/21/2020,53,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,40,53,San Bernardino
1/22/2020,67,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,40,67,San Bernardino
1/23/2020,65,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,40,65,San Bernardino
1/24/2020,68,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,43,68,San Bernardino
1/25/2020,76,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,44,76,San Bernardino
1/26/2020,113,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,46,113,San Bernardino
1/27/2020,113,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,41,113,San Bernardino
1/28/2020,58,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,42,58,San Bernardino
1/29/2020,49,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,44,49,San Bernardino
1/30/2020,48,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,42,48,San Bernardino
1/31/2020,53,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,42,53,San Bernardino
2/1/2020,52,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,47,52,San Bernardino
2/2/2020,51,Ozone,Redlands,06-071-4003,AirNow,51,48,San Bernardino
2/3/2020,47,Ozone,Redlands,06-071-4003,AirNow,47,38,San Bernardino
2/4/2020,45,Ozone,Redlands,06-071-4003,AirNow,45,31,San Bernardino
2/5/2020,52,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,40,52,San Bernardino
2/6/2020,70,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,38,70,San Bernardino
2/7/2020,99,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,41,99,San Bernardino
2/8/2020,105,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,71,105,San Bernardino
2/9/2020,56,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,48,56,San Bernardino
2/10/2020,45,Ozone,Redlands,06-071-4003,AirNow,45,21,San Bernardino
