Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,County
1/1/2020,37,PM2.5,San Francisco,06-075-0005,AirNow,28,37,San Francisco
1/2/2020,39,PM2.5,San Francisco,06-075-0005,AirNow,14,39,San Francisco
1/3/2020,60,PM2.5,San Francisco,06-075-0005,AirNow,22,60,San Francisco
1/4/2020,28,PM2.5,San Francisco,06-075-0005,AirNow,28,28,San Francisco
1/5/2020,32,Ozone,San Francisco,06-075-0005,AirNow,32,21,San Francisco
1/6/2020,30,PM2.5,San Francisco,06-075-0005,AirNow,19,30,San Francisco
1/7/2020,34,Ozone,San Francisco,06-075-0005,AirNow,34,28,San Francisco
1/8/2020,34,Ozone,San Francisco,06-075-0005,AirNow,34,22,San Francisco
1/9/2020,33,Ozone,San Francisco,06-075-0005,AirNow,33,20,San Francisco
1/10/2020,34,Ozone,San Francisco,06-075-0005,AirNow,34,32,San Francisco
1/11/2020,33,Ozone,San Francisco,06-075-0005,AirNow,33,24,San Francisco
1/12/2020,35,Ozone,San Francisco,06-075-0005,AirNow,35,22,San Francisco
1/13/2020,35,Ozone,San Francisco,06-075-0005,AirNow,35,14,San Francisco
1/14/2020,32,Ozone,San Francisco,06-075-0005,AirNow,32,25,San Francisco
1/15/2020,31,Ozone,San Francisco,06-075-0005,AirNow,31,26,San Francisco
1/16/2020,33,Ozone,San Francisco,06-075-0005,AirNow,33,20,San Francisco
1/17/2020,30,PM2.5,San Francisco,06-075-0005,AirNow,25,30,San Francisco
1/18/2020,25,Ozone,San Francisco,06-075-0005,AirNow,25,21,San Francisco
1/19/2020,30,PM2.5,San Francisco,06-075-0005,AirNow,19,30,San Francisco
1/20/2020,48,PM2.5,San Francisco,06-075-0005,AirNow,28,48,San Francisco
1/21/2020,29,Ozone,San Francisco,06-075-0005,AirNow,29,14,San Francisco
1/22/2020,30,PM2.5,San Francisco,06-075-0005,AirNow,25,30,San Francisco
1/23/2020,43,PM2.5,San Francisco,06-075-0005,AirNow,16,43,San Francisco
1/24/2020,31,PM2.5,San Francisco,06-075-0005,AirNow,25,31,San Francisco
1/25/2020,33,PM2.5,San Francisco,06-075-0005,AirNow,27,33,San Francisco
1/26/2020,37,Ozone,San Francisco,06-075-0005,AirNow,37,18,San Francisco
1/27/2020,33,PM2.5,San Francisco,06-075-0005,AirNow,32,33,San Francisco
1/28/2020,32,PM2.5,San Francisco,06-075-0005,AirNow,31,32,San Francisco
1/29/2020,44,PM2.5,San Francisco,06-075-0005,AirNow,23,44,San Francisco
1/30/2020,34,PM2.5,San Francisco,06-075-0005,AirNow,19,34,San Francisco
1/31/2020,55,PM2.5,San Francisco,06-075-0005,AirNow,16,55,San Francisco
2/1/2020,67,PM2.5,San Francisco,06-075-0005,AirNow,26,67,San Francisco
2/2/2020,36,Ozone,San Francisco,06-075-0005,AirNow,36,23,San Francisco
2/3/2020,33,Ozone,San Francisco,06-075-0005,AirNow,33,12,San Francisco
2/4/2020,31,Ozone,San Francisco,06-075-0005,AirNow,31,21,San Francisco
2/5/2020,38,PM2.5,San Francisco,06-075-0005,AirNow,24,38,San Francisco
2/6/2020,45,PM2.5,San Francisco,06-075-0005,AirNow,25,45,San Francisco
2/7/2020,52,PM2.5,San Francisco,06-075-0005,AirNow,29,52,San Francisco
